song_name,propSameWordsLineOne,lineDiffI,difflines_KBOG,jan_notes,update_notes,drop.,X,X.1,X.2,X.3,X.4,mismatch,final_notes
"1, 2 step",0,8,NA,NA,,NA,,,NA,NA,,,MISSING KB LYRICS
24k magic,0,8,-18,,,,,,NA,NA,,0,
2u,0,4,NA,NA,,NA,,,NA,NA,,,MISSING KB LYRICS
7 things,0,16,-4,,,,,,NA,NA,,0,
a public affair,0,9,-7,,,,,,NA,NA,,0,
ain't it fun,0,11,-19,,,,,,NA,NA,,0,
alejandro,0,12,20,formatting differences,,,,,NA,NA,,0,
alive,0,0,1,,,,,,NA,NA,,,ERROR
alive,0,8,1,,,,,,NA,NA,,,ERROR
all you wanted,0,62,NA,NA,"2 versions, one has no lyrics for original",CHECK,capital version is correct,,NA,NA,,0,DUPLICATE (one version ok)
am i wrong,0,12,-6,,,,,,NA,NA,,0,
axel f,0,29,NA,NA,,NA,,,NA,NA,,0,
baby,0,14,14,wrong song (need Justin Bieber version),"fixed now, looks good",,,,NA,NA,,0,
bad liar,0,0,-48,should be Imagine Dragons song,,,,,NA,NA,,1,
be alright,0,1,NA,NA,,NA,,,NA,NA,,,MISSING KB LYRICS
beautiful,0,0,-9,,,,,,NA,NA,,1,
beautiful girls,0,4,4,,,,,,NA,NA,,0,
beauty and a beat,0,0,-1,,,,,,NA,NA,,0,
believe,0,0,-5,,,,,,NA,NA,,0,
big girls don't cry,0,4,-8,,,,,,NA,NA,,0,
black horse & the cherry tree,0,36,-7,,formatting differences,,,,NA,NA,,0,
boom boom pow,0,35,-22,,,,,,NA,NA,,0,
boom clap,0,0,-42,KB lyrics incomplete,,Y,,,NA,NA,,1,KB LYRICS INCOMPLETE
born this way,0,0,-52,removes large chunks of identity lyrics,,,,,NA,NA,,0,
boy with luv,0,38,NA,NA,"2 versions, one has no lyrics for KB",CHECK,capital version is correct,,NA,NA,,,DUPLICATE (one is fine)
"break up with your girlfriend, i'm bored",0,16,NA,NA,,NA,,,NA,NA,,,MISSING KB LYRICS
break your heart,0,0,9,,,,,,NA,NA,,0,
breathin,0,0,-4,,,,,,NA,NA,,0,
broken,0,34,NA,NA,,NA,,,NA,NA,,1,
burn,0,13,-5,,,,,,NA,NA,,1,
