"year","alcohol","sexual","profanity","identity","other"
2001,0,2.5,0,2.5,0
2002,0,11.4285714285714,5.71428571428571,2.85714285714286,2.85714285714286
2003,0,0,3.44827586206897,3.44827586206897,1.72413793103448
2004,1.58730158730159,0,0,1.58730158730159,1.58730158730159
2005,0,0,12.5,0,3.125
2006,2.4390243902439,2.4390243902439,24.390243902439,4.8780487804878,4.8780487804878
2007,6.02409638554217,7.2289156626506,12.0481927710843,8.43373493975904,9.63855421686747
2008,3.57142857142857,7.14285714285714,10.7142857142857,0,14.2857142857143
2009,5.81395348837209,12.7906976744186,13.953488372093,1.16279069767442,17.4418604651163
2010,14.4578313253012,15.6626506024096,10.8433734939759,2.40963855421687,10.8433734939759
2011,2.5,7.5,10,7.5,7.5
2012,8.25688073394496,20.1834862385321,4.58715596330275,3.6697247706422,9.1743119266055
2013,8.21917808219178,9.58904109589041,17.8082191780822,0,12.3287671232877
2014,21.25,18.75,7.5,1.25,15
2015,7.93650793650794,15.0793650793651,10.3174603174603,2.38095238095238,11.9047619047619
2016,15.625,15.625,15.625,5.20833333333333,11.4583333333333
2017,28.6764705882353,18.3823529411765,13.2352941176471,0.735294117647059,13.2352941176471
2018,19.327731092437,10.9243697478992,17.6470588235294,3.36134453781513,15.1260504201681
2019,16.6666666666667,15.9722222222222,15.2777777777778,2.77777777777778,18.0555555555556
