"year","alcohol","sexual","profanity","violence","identity","other"
2001,0,10.6382978723404,0,0.0212765957446809,2.12765957446809,4.25531914893617
2002,4.76190476190476,16.6666666666667,4.76190476190476,0,2.38095238095238,7.14285714285714
2003,1.5625,1.5625,3.125,0,6.25,4.6875
2004,2.85714285714286,1.42857142857143,1.42857142857143,0.0285714285714286,2.85714285714286,1.42857142857143
2005,3.2258064516129,0,12.9032258064516,0.032258064516129,0,0
2006,2.4390243902439,4.8780487804878,21.9512195121951,0.048780487804878,4.8780487804878,2.4390243902439
2007,6.57894736842105,5.26315789473684,13.1578947368421,0.0657894736842105,9.21052631578947,2.63157894736842
2008,3.92156862745098,7.84313725490196,9.80392156862745,0.117647058823529,0,3.92156862745098
2009,6.25,16.6666666666667,12.5,0.0729166666666667,2.08333333333333,9.375
2010,15.1898734177215,17.7215189873418,7.59493670886076,0.0886075949367089,1.26582278481013,6.32911392405063
2011,2.40963855421687,8.43373493975904,13.2530120481928,0.0481927710843373,4.81927710843373,7.2289156626506
2012,8.08080808080808,19.1919191919192,5.05050505050505,0.0606060606060606,4.04040404040404,7.07070707070707
2013,10.2564102564103,10.2564102564103,17.948717948718,0.0897435897435898,1.28205128205128,6.41025641025641
2014,19.672131147541,16.3934426229508,6.55737704918033,0.131147540983607,1.63934426229508,4.91803278688525
2015,8.66141732283465,15.748031496063,10.2362204724409,0.102362204724409,2.36220472440945,5.51181102362205
2016,15.3061224489796,16.3265306122449,15.3061224489796,0.0510204081632653,5.10204081632653,8.16326530612245
2017,27.34375,20.3125,14.0625,0.046875,0.78125,6.25
2018,16.8067226890756,12.6050420168067,16.8067226890756,0.117647058823529,3.36134453781513,7.56302521008403
2019,19.2660550458716,12.8440366972477,15.5963302752294,0.0825688073394495,4.58715596330275,9.1743119266055
NA,15.3846153846154,19.7802197802198,9.89010989010989,0.021978021978022,2.1978021978022,12.0879120879121
